Material,Texto breve de material,Centro,Almacén,Lote,Unidad medida base,Libre utilización,Valor libre util.,Fecha
101749,"BOLSA VACIO 8""X17"" C/IMP S/RECTO B2632",0R20,AP09,,PZA,784,"3,126.070",02/01/2025
100140,FONDO KNT-004F P/LOINS 56.8X42.4X11.1CM,0R20,AP06,,PZA,747,"7,808.650",02/01/2025
10000301,BOLSA DE 25 X 40/125 NAT BAJA DENCIDAD,0R20,AP01,,PZA,712,275.020,02/01/2025
101751,BOLSA 1.20X60+18/180 NAT TIF 187,0R20,AP03,,PZA,635,"4,048.400",02/01/2025
10000144,TAPA KRAFT SONORA,0R20,AP05,,PZA,462,"4,095.910",02/01/2025
10000145,FONDO KRAFT SONORA,0R20,AP05,,PZA,462,"4,165.180",02/01/2025
101599,BOLSA TERMO 8X28 S/IMPRE SELLO CURVO,0R20,AP01,,PZA,429,"2,604.100",02/01/2025
K29026369,AGUA PURIFICADA RISCO,0R20,AP03,,PZA,407,"12,213.570",02/01/2025
101591,CHAROLA CARTON CORRUGADO P/MARINADO 6 KG,0R20,AP03,,PZA,361,"3,667.540",02/01/2025
101699,BOLSA FUELLE POLIPAPEL 65+48X75 NAT,0R20,AP05,,PZA,317,772.900,02/01/2025
101699,BOLSA FUELLE POLIPAPEL 65+48X75 NAT,0R20,AP03,,PZA,315,768.030,02/01/2025
212223M2,CONDIMENTO MILANESA S KEKEN,0R20,AP03,,KG,309,"34,642.890",02/01/2025
100763,BOLSA VACIO 14” X 21” C/IMP CAL.200,0R20,AP09,,PZA,295,"1,901.430",02/01/2025
100168,"BOLSA C/CUBREHUESO 16""X28"" (100968397)",0R20,AP01,,PZA,289,"7,480.320",02/01/2025
101760,TAPA EXPO HAN GPM 593X484X110 IRAPUATO,0R20,AP06,,PZA,275,"3,882.700",02/01/2025
102004,Bolsa Vacio 13X18 JKK PACK CAL 50,0R20,AP03,,PZA,269,992.170,02/01/2025
101719,CHAROLA GPM CONTENEDORA 101023 MAQ,0R20,AP05,,PZA,268,"6,038.490",02/01/2025
K29026357,SAL FINA PARA MESA,0R20,AP03,,KG,255,"3,972.230",02/01/2025
100167,"BOLSA C/CUBREHUESO 11""X31"" (100278789)",0R20,AP01,,PZA,251,"5,951.750",02/01/2025
101753,TAPA EXPORT KNT 443X338X167 IRAPUATO,0R20,AP06,,PZA,247,"3,811.220",02/01/2025
100086,PAÑO DE 50 X 70 /250 AZUL,0R20,AP07,,PZA,242,320.210,02/01/2025
100212,CAJA CARNE M.N. 15KGS KRAFT S32ECT,0R20,AP02,,PZA,236,"3,626.300",02/01/2025
10000144,TAPA KRAFT SONORA,0R20,AP02,,PZA,198,"1,755.390",02/01/2025
10000145,FONDO KRAFT SONORA,0R20,AP02,,PZA,198,"1,785.080",02/01/2025
212632M2,VINAGRE BLANCO,0R20,AP03,,L,171,"2,645.740",02/01/2025
10000144,TAPA KRAFT SONORA,0R20,AP03,,PZA,169,"1,498.290",02/01/2025
10000145,FONDO KRAFT SONORA,0R20,AP03,,PZA,169,"1,523.630",02/01/2025
212429M2,CONSERVADOR CITRAL NISSIN,0R20,AP03,,KG,160,"36,522.470",02/01/2025
100155,BANDA RAYADA DE CARTON CORRUGADO SIMBOLO,0R20,AP03,,PZA,158,551.420,02/01/2025
100055,PAÑOS DE 1.20 X 1.10/250 NAT R/S 6.25,0R20,AP01,,PZA,149,776.010,02/01/2025
100252,BOLSA P/EMPAQUE AL VACIO 14 x 23 S /IMP,0R20,AP01,,PZA,141,938.370,02/01/2025
100212,CAJA CARNE M.N. 15KGS KRAFT S32ECT,0R20,AP09,,PZA,131,"2,012.900",02/01/2025
K29026369,AGUA PURIFICADA RISCO,0R20,AP07,,PZA,130,"3,900.000",02/01/2025
212190M2,CONDIMENTO ACHIOTE P/LONGANIZA MA&FB,0R20,AP03,,KG,118,"23,077.620",02/01/2025
100212,CAJA CARNE M.N. 15KGS KRAFT S32ECT,0R20,AP03,,PZA,99,"1,521.200",02/01/2025
101800,TAPA EXPO KNT 418 X 286 X 103 IRAPUATO,0R20,AP06,,PZA,75,635.680,02/01/2025
101969,STOCKINETTE NORMAL PRESENTACION 15 KG,0R20,AP08,,KG,61,"7,535.950",02/01/2025
212201M2,CONDIMENTO MRD AL AJO KEKEN MA&FB,0R20,AP03,,KG,61,"5,543.270",02/01/2025
212152M2,CURE DOUBLE SALT,0R20,AP03,,KG,60,"3,211.830",02/01/2025
212162M2,CONDIMENTO SAZONADOR MARINADO Nº3 F/H,0R20,AP03,,KG,59,"6,129.960",02/01/2025
212630M2,COLOR CARMIN 5 % LIQUIDO,0R20,AP07,,KG,57,"38,096.050",02/01/2025
100155,BANDA RAYADA DE CARTON CORRUGADO SIMBOLO,0R20,AP02,,PZA,55,191.950,02/01/2025
101115,FONDO KATARO GPM-031F 38.0X28.5X13.0,0R20,AP02,,PZA,55,494.840,02/01/2025
101754,TAPA EXPO GPM KATARO 399X298X127 IRAP,0R20,AP02,,PZA,55,553.280,02/01/2025
100107,GPM 011FK-KRAFT MED.INT.41.8X30.7X12.6,0R20,AP06,,PZA,50,434.310,02/01/2025
10000268,BOLSA DE 30 X 90/150 NATURAL,0R20,AP01,,KG,47,"3,039.900",02/01/2025
212225M2,ACHIOTE P/MILANESA YUCATECA KEKEN GRIFFI,0R20,AP03,,KG,43,"5,651.910",02/01/2025
212212M2,CONDIMENTO CARNE AL PASTOR KEKEN,0R20,AP03,,KG,43,"6,948.630",02/01/2025
101171,ARPILLA 58X61 CM VERDE 40 KG JARETA,0R20,AP01,,PZA,37,275.650,02/01/2025
212176M2,CONDIMENTO ADOBO P/MILANESA KEKEN,0R20,AP03,,KG,36,"5,620.060",02/01/2025
101620,ETIQUETA 40 X 40 BOPP IMPRESO UNA TINTA,0R20,AP03,,PZA,36,4.330,02/01/2025
212631M2,HUMO LÍQUIDO POLY C10,0R20,AP08,,KG,35,"3,916.110",02/01/2025
212529M2,PIMENTON DULCE 120 ASTAS HEAT,0R20,AP03,,KG,28,"3,504.000",02/01/2025
10000264,BOLSA DE FUELLE 73X80+35/200 NAT,0R20,AP03,,KG,27,"1,526.350",02/01/2025
100069,ETIQUETA P/CODICO DE BARRA COLOR BLANCO,0R20,AP02,,PZA,26,"3,672.940",02/01/2025
100762,CINTA PAPEL 70MM C/REFUERZO IMP 1 TINTA,0R20,AP03,,ROL,26,"3,512.230",02/01/2025
101534,GPM-KNT 39 FONDO 420 X 326 X 169,0R20,AP06,,PZA,25,308.810,02/01/2025
K26026210,BOLSA NEGRA P/BASURA 73+30X1.20/200,0R20,AP02,,KG,25,916.480,02/01/2025
101657,BOLSA TERMO S/IMPRE 11X16 SEALED AIR,0R20,AP09,,PZA,24,97.120,02/01/2025
212102M2,NARANJA AGRIA,0R20,AP03,,PZA,23,"4,105.420",02/01/2025
10000263,BOLSA DE 40 X 60/150 NATURAL,0R20,AP01,,KG,22,"1,375.140",02/01/2025
101171,ARPILLA 58X61 CM VERDE 40 KG JARETA,0R20,AP05,,PZA,22,163.900,02/01/2025
212626M2,UNIDAD CHULETA AHUMADA KKN 001,0R20,AP07,,BOL,20,"62,970.600",02/01/2025
100069,ETIQUETA P/CODICO DE BARRA COLOR BLANCO,0R20,AP09,,PZA,16,"2,247.410",02/01/2025
212128M2,MARINADOR PARRILLA GRILLED BACON #5044,0R20,AP03,,KG,15,"7,631.870",02/01/2025
100762,CINTA PAPEL 70MM C/REFUERZO IMP 1 TINTA,0R20,AP02,,ROL,15,"2,018.320",02/01/2025
10000265,BOLSA DE 60X90/300 B.D NATURAL,0R20,AP01,,KG,15,955.400,02/01/2025
100174,"PELICULA ESTIRABLE 18"" C-60 1200 PIES",0R20,AP05,,PZA,14,"1,070.960",02/01/2025
10000268,BOLSA DE 30 X 90/150 NATURAL,0R20,AP03,,KG,13,862.980,02/01/2025
100153,PAÑOS DE 75 X 90/150,0R20,AP01,,PZA,13,19.950,02/01/2025
100275,ADHESIVO TECNOMELT 808358 C/19 KGS,0R20,AP01,,KG,12,"1,763.940",02/01/2025
10000144,TAPA KRAFT SONORA,0R20,AP09,,PZA,10,88.660,02/01/2025
10000145,FONDO KRAFT SONORA,0R20,AP09,,PZA,10,90.160,02/01/2025
100762,CINTA PAPEL 70MM C/REFUERZO IMP 1 TINTA,0R20,AP09,,ROL,9,"1,267.140",02/01/2025
100069,ETIQUETA P/CODICO DE BARRA COLOR BLANCO,0R20,AP01,,PZA,9,"1,303.120",02/01/2025
10000263,BOLSA DE 40 X 60/150 NATURAL,0R20,AP03,,KG,8,492.840,02/01/2025
212627M2,PEREJIL EN HOJUELA BX 2,0R20,AP03,,KG,7,"2,345.190",02/01/2025
101699,BOLSA FUELLE POLIPAPEL 65+48X75 NAT,0R20,AP08,,PZA,7,17.070,02/01/2025
101699,BOLSA FUELLE POLIPAPEL 65+48X75 NAT,0R20,AP09,,PZA,7,17.070,02/01/2025
10000284,ETIQUETA IMPRESA P/BOLSA,0R20,AP02,,TS,6,869.770,02/01/2025
10000284,ETIQUETA IMPRESA P/BOLSA,0R20,AP01,,TS,6,862.850,02/01/2025
100069,ETIQUETA P/CODICO DE BARRA COLOR BLANCO,0R20,AP03,,PZA,6,796.240,02/01/2025
212594M2,HUMO LIQUIDO,0R20,AP03,,KG,6,666.490,02/01/2025
212093M2,CONDIMENTO PARA HAMBURGUESA,0R20,AP03,,PZA,5,"5,732.700",02/01/2025
101407,FLEJE BLANCO EAMMOSCA 5MM PP5047W230,0R20,AP02,,ROL,4,"3,971.380",02/01/2025
212633M2,GARDATECH NK 05,0R20,AP02,,KG,3,399.810,02/01/2025
101475,ETIQUETA ROJA 38 X 400 MM IMPRESA,0R20,AP02,,ROL,3,"1,076.250",02/01/2025
10000146,COMBOS DE SONORA,0R20,AP01,,PZA,3,907.290,02/01/2025
100275,ADHESIVO TECNOMELT 808358 C/19 KGS,0R20,AP05,,KG,3,377.420,02/01/2025
212097M2,AJO DESIDRATADO GRANULAR FINO,0R20,AP03,,PZA,3,"19,701.840",02/01/2025
10000343,"PAPEL P/HAMBURG. 14 X 14 5 1/2"" CUADRADO",0R20,AP03,,CA,2,"17,083.570",02/01/2025
101407,FLEJE BLANCO EAMMOSCA 5MM PP5047W230,0R20,AP01,,ROL,2,"2,007.860",02/01/2025
100069,ETIQUETA P/CODICO DE BARRA COLOR BLANCO,0R20,AP05,,PZA,2,256.030,02/01/2025
212098M2,MARINADOR NATURAL,0R20,AP03,,PZA,2,"3,285.840",02/01/2025
100275,ADHESIVO TECNOMELT 808358 C/19 KGS,0R20,AP02,,KG,2,218.640,02/01/2025
101407,FLEJE BLANCO EAMMOSCA 5MM PP5047W230,0R20,AP03,,ROL,1,"1,288.650",02/01/2025
212094M2,MARINADOR MEZQUITE,0R20,AP03,,PZA,1,"5,856.780",02/01/2025
100748,BOLSA TERMOENCOGIBLE 14X20 TRANSPARENTE,0R20,AP03,,PZA,1,6.310,02/01/2025
10000265,BOLSA DE 60X90/300 B.D NATURAL,0R20,AP05,,KG,1,54.890,02/01/2025
10000264,BOLSA DE FUELLE 73X80+35/200 NAT,0R20,AP08,,KG,1,45.510,02/01/2025
101407,FLEJE BLANCO EAMMOSCA 5MM PP5047W230,0R20,AP09,,ROL,1,599.990,02/01/2025
101905,HILO GRUESO (45) POLIESTER 54 HEBRAS,0R20,AP07,,CJ,0,247.800,02/01/2025
100069,ETIQUETA P/CODICO DE BARRA COLOR BLANCO,0R20,AP08,,PZA,0,22.970,02/01/2025
10000284,ETIQUETA IMPRESA P/BOLSA,0R20,AP05,,TS,0,22.510,02/01/2025
100275,ADHESIVO TECNOMELT 808358 C/19 KGS,0R20,AP09,,KG,0,16.080,02/01/2025
212233M2,ADITIVO KKN ENHANCE SACO 25 KG,0R20,AP07,,BOL,0,883.160,02/01/2025
100069,ETIQUETA P/CODICO DE BARRA COLOR BLANCO,0R20,AP07,,PZA,0,14.150,02/01/2025
101407,FLEJE BLANCO EAMMOSCA 5MM PP5047W230,0R20,AP05,,ROL,0,99.510,02/01/2025
100275,ADHESIVO TECNOMELT 808358 C/19 KGS,0R20,AP03,,KG,0,13.210,02/01/2025
100000,CANASTILLA GIGANTE MEDIANO,0R20,AP01,,PZA,"27,067","2,552,543.80",04/01/2025
100109,SEPARADOR REGULAR SHOLULDER 29.5 X 10,0R20,AP06,,PZA,"15,009","7,721.79",04/01/2025
102004,Bolsa Vacio 13X18 JKK PACK CAL 50,0R20,AP02,,PZA,"12,691","47,760.92",04/01/2025
101855,ETIQUETA ARRACHERA CERDO 150 X 80 MM,0R20,AP03,,PZA,"11,157","16,466.66",04/01/2025
101657,BOLSA TERMO S/IMPRE 11X16 SEALED AIR,0R20,AP03,,PZA,"7,512","30,398.96",04/01/2025
101636,BOLSA STAND UP LEÑA 180X230+80,0R20,AP03,,PZA,"7,234","19,050.28",04/01/2025
101641,BOLSA SANTUP LONGANIZANATURAL 200X300+80,0R20,AP03,,PZA,"7,003","18,512.09",04/01/2025
101635,BOLSA STAND UP YUCATECA 180X230+80,0R20,AP03,,PZA,"6,618","16,312.83",04/01/2025
101699,BOLSA FUELLE POLIPAPEL 65+48X75 NAT,0R20,AP02,,PZA,"5,518","13,453.91",04/01/2025
10000301,BOLSA DE 25 X 40/125 NAT BAJA DENCIDAD,0R20,AP01,,PZA,"5,340","2,062.62",04/01/2025
101638,BOLSA STAND UP ADOBO 180X230+80,0R20,AP03,,PZA,"4,672","12,049.01",04/01/2025
101642,BOLSA STAND UP PASTOR 180X230+80,0R20,AP03,,PZA,"4,600","11,399.06",04/01/2025
100212,CAJA CARNE M.N. 15KGS KRAFT S32ECT,0R20,AP01,,PZA,"4,199","64,520.40",04/01/2025
100155,BANDA RAYADA DE CARTON CORRUGADO SIMBOLO,0R20,AP01,,PZA,"4,070","14,204.30",04/01/2025
101656,BOLSA POUCHE FONDO NEGRO 7X12 ARRACHERA,0R20,AP03,,PZA,"3,877","7,009.15",04/01/2025
10000145,FONDO KRAFT SONORA,0R20,AP01,,PZA,"3,315","29,886.57",04/01/2025
101637,BOLSA STANDUP FINASHIERBAS 180X230+80,0R20,AP03,,PZA,"3,290","7,722.66",04/01/2025
101699,BOLSA FUELLE POLIPAPEL 65+48X75 NAT,0R20,AP01,,PZA,"3,174","7,738.80",04/01/2025
100112,SEPARADOR BELLY DE 52.5 X 25.5 CM,0R20,AP06,,PZA,"3,139","6,706.00",04/01/2025
10000144,TAPA KRAFT SONORA,0R20,AP01,,PZA,"2,700","23,937.11",04/01/2025
101639,BOLSA SANTUP LONGANIZAAHUMADA 200X300+80,0R20,AP03,,PZA,"2,129","5,665.82",04/01/2025
101694,TAPA GPM-006T 1 TINTA BIOPAPEL,0R20,AP01,,PZA,"2,101","38,104.75",04/01/2025
101634,BOLSA STAND UP AJO 180X230+80,0R20,AP03,,PZA,"2,017","4,731.59",04/01/2025
100766,BOLSA STAND UP TOCINO 250X270+140,0R20,AP03,,PZA,"2,012","6,023.88",04/01/2025
101892,BOLSA TBG 12X17 CHUL AHUMADA,0R20,AP09,,PZA,"2,000","26,426.38",04/01/2025
100138,FONDO KNT-005F P/REGULAR BELLY,0R20,AP01,,PZA,"1,414","19,049.67",04/01/2025
100167,"BOLSA C/CUBREHUESO 11""X31"" (100278789)",0R20,AP09,,PZA,"1,266","30,019.58",04/01/2025
101692,TAPA GPM-011T2 (N COLLAR) 1 TINTA,0R20,AP06,,PZA,"1,017","11,904.52",04/01/2025
101775,BOLSA Z5CR 11X19 CON IMPRESION ZUBEX,0R20,AP03,,PZA,"1,000","4,939.14",04/01/2025
100153,PAÑOS DE 75 X 90/150,0R20,AP01,,PZA,997,"1,530.10",04/01/2025
102004,Bolsa Vacio 13X18 JKK PACK CAL 50,0R20,AP03,,PZA,982,"3,695.63",04/01/2025
101657,BOLSA TERMO S/IMPRE 11X16 SEALED AIR,0R20,AP01,,PZA,940,"3,803.92",04/01/2025
100980,BOLSA 10”X14” PCHBIO 250 ZUBEX,0R20,AP03,,PZA,931,"1,906.26",04/01/2025
101591,CHAROLA CARTON CORRUGADO P/MARINADO 6 KG,0R20,AP03,,PZA,869,"8,828.51",04/01/2025
101749,"BOLSA VACIO 8""X17"" C/IMP S/RECTO B2632",0R20,AP09,,PZA,784,"3,126.07",04/01/2025
100140,FONDO KNT-004F P/LOINS 56.8X42.4X11.1CM,0R20,AP06,,PZA,747,"7,808.65",04/01/2025
101751,BOLSA 1.20X60+18/180 NAT TIF 187,0R20,AP03,,PZA,664,"4,233.29",04/01/2025
100054,PAÑOS DE 48 X 50/250 NAT R/S 6.25,0R20,AP01,,PZA,655,537.43,04/01/2025
212223M2,CONDIMENTO MILANESA S KEKEN,0R20,AP03,,KG,489,"54,899.56",04/01/2025
K29026369,AGUA PURIFICADA RISCO,0R20,AP03,,PZA,437,"13,114.53",04/01/2025
101599,BOLSA TERMO 8X28 S/IMPRE SELLO CURVO,0R20,AP01,,PZA,429,"2,604.10",04/01/2025
100212,CAJA CARNE M.N. 15KGS KRAFT S32ECT,0R20,AP03,,PZA,402,"6,176.99",04/01/2025
10000144,TAPA KRAFT SONORA,0R20,AP02,,PZA,317,"2,810.39",04/01/2025
10000145,FONDO KRAFT SONORA,0R20,AP02,,PZA,317,"2,857.93",04/01/2025
K29026357,SAL FINA PARA MESA,0R20,AP03,,KG,314,"4,893.39",04/01/2025
100212,CAJA CARNE M.N. 15KGS KRAFT S32ECT,0R20,AP02,,PZA,304,"4,671.16",04/01/2025
101699,BOLSA FUELLE POLIPAPEL 65+48X75 NAT,0R20,AP03,,PZA,304,741.21,04/01/2025
100168,"BOLSA C/CUBREHUESO 16""X28"" (100968397)",0R20,AP01,,PZA,289,"7,480.32",04/01/2025
101760,TAPA EXPO HAN GPM 593X484X110 IRAPUATO,0R20,AP06,,PZA,275,"3,882.70",04/01/2025
100780,BOLSA STAND UP HAMBUR CERDO 250X270+140,0R20,AP03,,PZA,273,758.03,04/01/2025
101719,CHAROLA GPM CONTENEDORA 101023 MAQ,0R20,AP05,,PZA,268,"6,038.49",04/01/2025
10000144,TAPA KRAFT SONORA,0R20,AP03,,PZA,266,"2,358.25",04/01/2025
10000145,FONDO KRAFT SONORA,0R20,AP03,,PZA,266,"2,398.14",04/01/2025
100167,"BOLSA C/CUBREHUESO 11""X31"" (100278789)",0R20,AP01,,PZA,251,"5,951.75",04/01/2025
101753,TAPA EXPORT KNT 443X338X167 IRAPUATO,0R20,AP06,,PZA,247,"3,811.22",04/01/2025
100086,PAÑO DE 50 X 70 /250 AZUL,0R20,AP07,,PZA,242,320.21,04/01/2025
100763,BOLSA VACIO 14” X 21” C/IMP CAL.200,0R20,AP09,,PZA,210,"1,353.56",04/01/2025
212632M2,VINAGRE BLANCO,0R20,AP03,,L,190,"2,937.70",04/01/2025
212190M2,CONDIMENTO ACHIOTE P/LONGANIZA MA&FB,0R20,AP03,,KG,179,"35,145.29",04/01/2025
100212,CAJA CARNE M.N. 15KGS KRAFT S32ECT,0R20,AP09,,PZA,165,"2,535.33",04/01/2025
212429M2,CONSERVADOR CITRAL NISSIN,0R20,AP03,,KG,157,"35,975.42",04/01/2025
100055,PAÑOS DE 1.20 X 1.10/250 NAT R/S 6.25,0R20,AP01,,PZA,149,776.01,04/01/2025
100252,BOLSA P/EMPAQUE AL VACIO 14 x 23 S /IMP,0R20,AP01,,PZA,141,938.37,04/01/2025
K29026369,AGUA PURIFICADA RISCO,0R20,AP07,,PZA,102,"3,060.00",04/01/2025
100275,ADHESIVO TECNOMELT 808358 C/19 KGS,0R20,AP01,,KG,92,"13,196.73",04/01/2025
212176M2,CONDIMENTO ADOBO P/MILANESA KEKEN,0R20,AP03,,KG,86,"13,323.83",04/01/2025
212162M2,CONDIMENTO SAZONADOR MARINADO Nº3 F/H,0R20,AP03,,KG,79,"8,220.45",04/01/2025
100155,BANDA RAYADA DE CARTON CORRUGADO SIMBOLO,0R20,AP03,,PZA,76,265.24,04/01/2025
101800,TAPA EXPO KNT 418 X 286 X 103 IRAPUATO,0R20,AP06,,PZA,75,635.68,04/01/2025
101171,ARPILLA 58X61 CM VERDE 40 KG JARETA,0R20,AP01,,PZA,68,506.60,04/01/2025
101969,STOCKINETTE NORMAL PRESENTACION 15 KG,0R20,AP08,,KG,61,"7,535.95",04/01/2025
212201M2,CONDIMENTO MRD AL AJO KEKEN MA&FB,0R20,AP03,,KG,61,"5,543.27",04/01/2025
212630M2,COLOR CARMIN 5 % LIQUIDO,0R20,AP07,,KG,56,"37,391.85",04/01/2025
212212M2,CONDIMENTO CARNE AL PASTOR KEKEN,0R20,AP03,,KG,56,"9,108.20",04/01/2025
101115,FONDO KATARO GPM-031F 38.0X28.5X13.0,0R20,AP02,,PZA,55,494.84,04/01/2025
101754,TAPA EXPO GPM KATARO 399X298X127 IRAP,0R20,AP02,,PZA,55,553.28,04/01/2025
100107,GPM 011FK-KRAFT MED.INT.41.8X30.7X12.6,0R20,AP06,,PZA,50,434.31,04/01/2025
212152M2,CURE DOUBLE SALT,0R20,AP03,,KG,44,"2,367.96",04/01/2025
10000263,BOLSA DE 40 X 60/150 NATURAL,0R20,AP01,,KG,42,"2,572.83",04/01/2025
101699,BOLSA FUELLE POLIPAPEL 65+48X75 NAT,0R20,AP05,,PZA,40,97.53,04/01/2025
10000268,BOLSA DE 30 X 90/150 NATURAL,0R20,AP01,,KG,38,"2,497.17",04/01/2025
101620,ETIQUETA 40 X 40 BOPP IMPRESO UNA TINTA,0R20,AP03,,PZA,36,4.33,04/01/2025
10000144,TAPA KRAFT SONORA,0R20,AP05,,PZA,34,301.43,04/01/2025
10000145,FONDO KRAFT SONORA,0R20,AP05,,PZA,34,306.53,04/01/2025
212225M2,ACHIOTE P/MILANESA YUCATECA KEKEN GRIFFI,0R20,AP03,,KG,29,"3,854.09",04/01/2025
10000264,BOLSA DE FUELLE 73X80+35/200 NAT,0R20,AP03,,KG,27,"1,526.35",04/01/2025
212633M2,GARDATECH NK 05,0R20,AP02,,KG,27,"3,160.57",04/01/2025
101534,GPM-KNT 39 FONDO 420 X 326 X 169,0R20,AP06,,PZA,25,308.81,04/01/2025
K26026210,BOLSA NEGRA P/BASURA 73+30X1.20/200,0R20,AP02,,KG,25,916.48,04/01/2025
100762,CINTA PAPEL 70MM C/REFUERZO IMP 1 TINTA,0R20,AP03,,ROL,24,"3,277.94",04/01/2025
101657,BOLSA TERMO S/IMPRE 11X16 SEALED AIR,0R20,AP09,,PZA,24,97.12,04/01/2025
212102M2,NARANJA AGRIA,0R20,AP03,,PZA,24,"4,302.10",04/01/2025
212529M2,PIMENTON DULCE 120 ASTAS HEAT,0R20,AP03,,KG,24,"2,979.82",04/01/2025
101171,ARPILLA 58X61 CM VERDE 40 KG JARETA,0R20,AP05,,PZA,22,163.90,04/01/2025
100069,ETIQUETA P/CODICO DE BARRA COLOR BLANCO,0R20,AP09,,PZA,21,"2,994.21",04/01/2025
100069,ETIQUETA P/CODICO DE BARRA COLOR BLANCO,0R20,AP02,,PZA,21,"2,985.25",04/01/2025
212631M2,HUMO LÍQUIDO POLY C10,0R20,AP08,,KG,21,"2,330.43",04/01/2025
212128M2,MARINADOR PARRILLA GRILLED BACON #5044,0R20,AP03,,KG,15,"7,631.87",04/01/2025
100069,ETIQUETA P/CODICO DE BARRA COLOR BLANCO,0R20,AP03,,PZA,15,"2,046.00",04/01/2025
100174,"PELICULA ESTIRABLE 18"" C-60 1200 PIES",0R20,AP05,,PZA,14,"1,070.96",04/01/2025
10000268,BOLSA DE 30 X 90/150 NATURAL,0R20,AP03,,KG,13,862.98,04/01/2025
10000144,TAPA KRAFT SONORA,0R20,AP09,,PZA,13,115.25,04/01/2025
10000145,FONDO KRAFT SONORA,0R20,AP09,,PZA,13,117.20,04/01/2025
100762,CINTA PAPEL 70MM C/REFUERZO IMP 1 TINTA,0R20,AP02,,ROL,13,"1,681.24",04/01/2025
